pl_tranmid,pl_orbper,pl_trandurh,pl_trandep,pl_rade,pl_insol,pl_eqt,st_tmag,st_dist,st_teff,st_logg,st_rad,is_exoplanet
2458686.847,4.05135,2.4,1132.23,14.2359,,,10.4717,500.014,4974.4,,3.85,0
2460551.04,3.612771,4.142,11794.0,19.3662,5011.92,2344.0,10.4219,470.878,8324.0,4.28,1.71,1
2460360.435,3.6714717,2.149,4340.0,10.678,324.114,1182.0,10.4221,248.427,5618.0,4.06,1.54,1
2458332.083,11.535076,8.555958,2389.90616,12.215808,,,7.1062,79.5702,5479.3,3.77,2.48771,1
2460365.996,0.8352406,1.043,2065.0,6.4875,5021.63,2345.0,10.402,224.444,6105.0,4.31,1.24,0
2458411.671,2.4919771,1.4338141,2093.95942,2.2187585,39.6452664,639.9817426,10.9473,37.8871,3948.0,4.68962,0.482388,1
2458614.434,,2.726775,878.134108,1.710706,9.5212941,448.0162269,8.386,818.829,3773.0,4.438,0.577983,0
2458553.062,25.5195307,6.6877451,558.3758637,2.9641461,45.6335702,662.8890748,7.9995,64.9943,5742.22,4.29,1.17321,1
2458569.713,0.831542,1.985538,248.969585,1.881684,3776.609537,1999.379666,8.6014,1698.55,5824.0,4.438,1.1512,0
2459187.361,79.3739596,5.392,1227.0,2.17454,3.05331,368.0,11.1762,144.133,5168.33,4.60584,0.77,0
2458576.189,27.2149622,3.7190483,4731.404623,8.3475973,25.4860381,573.0537137,10.6392,161.33,6270.0,4.54537,0.989667,0
2458329.119,5.0780325,1.2100353,5923.128307,2.6347763,8.1743139,431.253644,13.084,62.118,3318.0,4.9581,0.334125,1
2458404.181,91.6827832,9.7504857,713.2183569,3.239855,5.9944903,399.0780255,10.0564,138.411,5802.0,4.44521,1.01814,1
2458337.747,14.64319,2.5483426,242.7923919,3.41248,391.2017546,1134.279147,9.3109,237.7,6516.0,3.99366,2.04178,0
2458327.705,4.1782656,1.675904,2537.67816,2.1023854,13.9295288,492.7241583,11.556,37.3312,3442.0,4.893,0.404403,1
2458329.863,17.9453645,3.0740072,5480.684864,3.3839124,1.9952383,303.1226876,11.556,37.3312,3442.0,4.893,0.404403,1
2458617.479,27.3613778,4.0586418,20690.66843,6.4522449,0.8345555,243.7718547,13.802,100.641,3050.0,4.438,0.44128,1
2460178.462,29.0497517,7.117,318.0,2.84674,257.066,1115.0,9.0963,272.217,8208.0,4.25979,1.8,1
2460175.035,3.3088922,6.114,4736.0,24.9862,17074.7,3184.0,7.87598,161.498,6188.0,4.27166,2.62,1
2458620.317,25.0571312,7.5424225,533.486013,3.2396838,53.1389289,688.6094029,9.6245,143.138,5696.0,4.26563,1.15281,1
2458563.89,24.2454967,3.3725583,6260.67036,3.878568,0.05273,122.2177444,10.2565,27.6227,3535.0,4.84874,0.465271,1
2459308.481,14.1758947,3.7543827,907.1324529,2.6231641,53.8795095,690.9961983,8.6522,64.5978,5723.87,4.438,0.864173,1
2459311.403,19.5901578,4.002861,1182.667864,3.0026428,35.0031418,620.3638839,8.6522,64.5978,5723.87,4.438,0.864173,1
2459310.633,6.2036219,3.01098,548.9044399,2.056748,162.1675094,910.1452592,8.6522,64.5978,5723.87,4.438,0.864173,1
2458572.108,3.79589,2.4602856,317.5272928,1.553135,312.1807495,1072.065399,8.6522,64.5978,5723.87,4.438,0.864173,1
2458685.613,2.2645386,3.8193701,15019.94209,5.1936764,34.1873897,616.7174475,13.7991,104.912,3443.0,4.81617,0.411471,0
2460333.631,3.4447015,1.912,796.0,2.00495,231.437,1086.0,9.91924,39.6345,3912.0,4.62642,0.63,1
2459422.691,3.0300715,2.5466671,21794.6137,12.7529892,318.4581858,1077.414594,11.0248,159.658,5242.82,4.52404,0.857369,1
2459781.666,12.72038,2.401,1070.0,4.96046,41.1042,705.0,10.2768,243.249,6212.0,4.17664,1.48,1
2458685.41,6.238755,3.6178567,373.5681138,2.9728283,587.1290759,1255.46077,10.2768,243.249,6212.0,4.17664,1.47768,1
2458684.287,3.2947689,1.7483103,1324.040277,2.5248559,56.9377632,700.5995436,11.2582,70.7145,3853.0,4.63168,0.62326,1
2458684.105,0.7645807,1.07057,394.9832006,1.2407226,399.2723837,1140.084569,11.2582,70.7145,3853.0,4.63168,0.62326,1
2459604.096,12.6396982,3.3830702,3292.681286,4.6025162,39.6563977,640.0266601,10.7192,126.903,5217.0,4.59186,0.789425,1
2459421.33,1.7208555,1.8346409,10014.25874,13.4646314,2259.389668,1758.399429,13.8046,1086.24,5832.83,4.20893,1.33402,1
2459913.811,6.4002807,2.1559875,1026.601873,2.2730301,56.4368797,699.0536347,11.0157,102.551,4599.0,4.58487,0.720551,1
2459733.644,18.6548829,5.4431451,1495.444947,4.3869878,27.832077,585.8091542,11.1802,169.422,5141.0,4.49143,0.876154,1
2459737.587,4.3074513,2.3379196,1094.84195,3.2819879,196.4755358,954.8757629,11.1802,169.422,5141.0,4.49143,0.876154,1
2459740.304,5.9041278,2.7678313,773.9266468,2.4489454,129.0410781,859.6105665,11.1802,169.422,5141.0,4.49143,0.876154,1
2458700.697,37.9251983,3.5345219,1370.788854,3.241643,10.8068346,462.4282696,11.1802,169.422,5141.0,4.49143,0.876154,1
2460311.845,15.9234883,4.021,493.0,2.18203,48.5414,735.0,8.4724,73.8713,5711.85,4.38315,1.08,1
2458687.122,4.3601536,2.3408909,5592.290918,6.9564258,202.0738994,961.6063113,11.1153,168.735,5227.0,4.50479,0.874131,1
2460342.349,13.0791581,2.97,1143.0,3.25485,48.6058,735.0,10.2108,139.49,5453.0,4.41707,1.0,1
2460206.744,4.6517186,2.709,978.0,2.66889,540.772,1343.0,10.1985,111.059,5154.0,4.47072,0.85,1
2460202.05,9.1549418,2.457,1101.0,2.62011,42.2592,710.0,10.1985,111.059,5154.0,4.47072,0.85,1
2460181.147,19.9815709,2.724,909.0,2.54717,16.5853,562.0,10.1985,111.059,5154.0,4.47072,0.85,1
2458683.643,1.4415044,0.9274524,547.3172736,3.8345209,5519.1845,2198.307682,6.895,66.3631,6603.0,4.438,1.58365,0
2460658.634,4.6756655,1.914,738.0,4.03134,230.204,1085.0,9.89947,185.23,5779.0,4.88162,1.45,0
2460646.545,10.288886,1.391,854.0,2.63881,9.06856,483.0,9.1416,65.9501,5126.0,4.49772,0.87,1
2458683.947,1.0332441,3.8017836,26111.5082,4.087988,16.7778791,516.1833775,13.5608,,2972.0,5.15741,0.156193,0
2459820.977,5.4526479,3.401,7750.0,14.5502,433.78,1271.0,9.87463,249.325,6509.0,4.17233,1.57,1
2459764.874,3.4779776,2.5103489,27021.69324,12.5541925,153.1388971,897.2038496,11.1534,118.106,4699.0,4.54638,0.765001,1
2458326.731,3.0354017,2.8809533,16196.21582,14.1334903,726.7556694,1324.240471,12.7923,573.027,5751.0,4.35036,1.07224,1
2459634.761,3.1274634,1.9812695,1331.83693,2.5802896,103.2675998,813.0378617,10.8116,73.5977,4225.0,4.5756,0.693431,1
2458686.12,7.4931613,1.9339295,1650.64705,2.7733674,32.2107098,607.6028794,10.8116,73.5977,4225.0,4.5756,0.693431,1
2458879.323,49.825166,3.8714976,2059.406904,3.8319135,2.5760566,323.1161011,10.8116,73.5977,4225.0,4.5756,0.693431,1
2460558.801,2.2047452,3.996,6872.0,17.9781,7992.22,2634.0,10.0274,341.079,6532.23,3.96818,1.99,1
2459649.751,10.8948421,2.0719394,3168.385358,2.4691414,5.5137471,390.8242112,11.0402,36.0118,3618.0,4.79432,0.435666,1
2459630.046,18.8016111,1.9093524,1686.788103,1.9112282,2.6636757,325.8292621,11.0402,36.0118,3618.0,4.79432,0.435666,1
2459425.413,6.7900981,6.0786576,2158.173357,9.7548481,477.5289979,1192.256467,11.636,,6378.0,4.438,2.00068,1
2460359.607,8.157721,3.788,10273.0,9.31888,91.0972,860.0,10.1495,109.557,5091.2,4.47,0.9,1
2458686.609,4.2529641,2.5733867,758.584999,2.3483383,231.2034004,994.5309519,10.9897,172.138,5591.0,4.38111,0.848906,1
2458325.651,3.7955178,2.0198135,52278.9941,10.3261619,18.0832336,525.9431131,14.1266,140.225,3424.0,4.438,0.445372,1
2459695.446,14.3034613,3.135,48840.0,18.4949,15.38,551.0,11.463,171.138,5056.6,4.53,0.83,0
2459657.449,6.1349783,5.661,3860.0,13.1383,861.554,1509.0,7.4556,92.2589,5828.7,3.84,2.05,1
2459661.401,3.3159772,1.494,2770.0,4.5947,120.595,923.0,11.0244,137.572,4972.7,4.54,0.81,1
